icpsr,congress,committees_sw,positions,bioguide,committees_unitedstates,titles
13035,112,TAXATION;WAYS,,R000053,WAYS,
14009,113,AGRICULTURE;APPROPRIATIONS;RULES,Ranking Minority,C000567,AGRICULTURE;APPROPRIATIONS;LIBRARY;RULES,Ranking Member
14226,115,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Chair,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
14226,114,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Chair,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
14226,113,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Ranking Minority,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
14226,112,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Ranking Minority,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
14307,115,AGRICULTURE;APPROPRIATIONS;JUDICIARY;RULES,,L000174,AGRICULTURE;APPROPRIATIONS;JUDICIARY;LIBRARY;RULES,Ranking Member
14647,112,HOMELAND SECURITY;HOUSE ADMINISTRATION;JUDICIARY;LIBRARY;PRINTING,Chair,L000517,HOMELAND SECURITY;HOUSE ADMINISTRATION;JUDICIARY,Chair
14651,113,AGING;ARMED SERVICES;BUDGET;COMMERCE;FINANCE,Chair,N000032,AGING;ARMED SERVICES;BUDGET;COMMERCE;FINANCE;INTELLIGENCE,Chairman
14657,115,FOREIGN;JUDICIARY,,S000244,FOREIGN;JUDICIARY;SCIENCE,
14709,112,ARMED SERVICES;HOMELAND SECURITY;SMALL BUSINESS,Chair,L000261,ARMED SERVICES;HOMELAND SECURITY;INTELLIGENCE;SMALL BUSINESS,Ex Officio;Chairman
14806,113,APPROPRIATIONS;COMMERCE;ECONOMIC;INTELLIGENCE,Ranking Minority,C000542,APPROPRIATIONS;COMMERCE;ECONOMIC;ENERGY;INTELLIGENCE,
14852,115,AGRICULTURE;ETHICS;FINANCE;HEALTH;RULES,Chair,R000307,AGRICULTURE;ETHICS;FINANCE;HEALTH;LIBRARY;PRINTING;RULES,Chairman
14858,115,MINORITY LEADER;RULES,,S000148,BANKING;FINANCE;INTELLIGENCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member;Ex Officio
14858,114,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES,Ranking Minority,S000148,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
14858,113,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES,Chair,S000148,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman;Vice Chairman
14858,112,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES,Chair,S000148,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman;Vice Chairman
14863,115,FOREIGN,,S000522,COMMISSION ON SECURITY;FOREIGN,Co-Chairman
14863,114,FOREIGN,,S000522,COMMISSION ON SECURITY;FOREIGN,Co-Chairman
14863,113,FOREIGN,,S000522,COMMISSION ON SECURITY;FOREIGN,Co-Chairman
14921,115,AGRICULTURE;APPROPRIATIONS;MAJORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
14921,114,AGRICULTURE;APPROPRIATIONS;MAJORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
14921,113,AGRICULTURE;APPROPRIATIONS;MINORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
14921,112,AGRICULTURE;APPROPRIATIONS;MINORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
15021,115,APPROPRIATIONS;JUDICIARY;MINORITY WHIP;RULES,,D000563,APPROPRIATIONS;JUDICIARY;RULES,
15021,114,APPROPRIATIONS;JUDICIARY;MINORITY WHIP;RULES,,D000563,APPROPRIATIONS;JUDICIARY;LIBRARY;RULES,
15021,113,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;MAJORITY WHIP;RULES,,D000563,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;RULES,
15021,112,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;MAJORITY WHIP;RULES,,D000563,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;RULES,
15029,113,APPROPRIATIONS,,K000009,APPROPRIATIONS;BUDGET,
15033,115,WAYS,,L000263,TAXATION;WAYS,Ranking Member
15033,112,TAXATION;WAYS,Ranking Minority,L000263,WAYS,Ranking Member
15039,115,ARMED SERVICES;HOMELAND SECURITY;INDIAN,Chair,M000303,ARMED SERVICES;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Chairman
15039,114,ARMED SERVICES;HOMELAND SECURITY;INDIAN,Chair,M000303,ARMED SERVICES;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Chairman
15039,113,ARMED SERVICES;FOREIGN RELATIONS;HOMELAND SECURITY;INDIAN,,M000303,ARMED SERVICES;FOREIGN RELATIONS;HEALTH;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Ranking Member
15039,112,ARMED SERVICES;HEALTH;HOMELAND SECURITY;INDIAN,Ranking Minority,M000303,ARMED SERVICES;HEALTH;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Ranking Member
15054,114,MINORITY LEADER,,R000146,INTELLIGENCE,Ex Officio
15054,113,MAJORITY LEADER,,R000146,INTELLIGENCE,Ex Officio
15054,112,MAJORITY LEADER,,R000146,INTELLIGENCE,Ex Officio
15408,115,ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Minority,C000141,COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Member
15408,114,ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Minority,C000141,COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Member
15408,113,ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,,C000141,BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Chairman
15408,112,BUDGET;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,,C000141,BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Chairman
15420,112,TAXATION;WAYS,,H000528,WAYS,
15424,115,ARMED SERVICES;COMMERCE;ENVIRONMENT;SMALL BUSINESS,,I000024,ARMED SERVICES;COMMERCE;ENVIRONMENT;INTELLIGENCE;SMALL BUSINESS,Chairman;Ex Officio
15424,113,ARMED SERVICES;ENVIRONMENT,Ranking Minority,I000024,ARMED SERVICES;ENVIRONMENT;FOREIGN RELATIONS;INTELLIGENCE,Ranking Member;Ex Officio
15425,113,APPROPRIATIONS;BANKING;ENERGY;HOMELAND SECURITY;INDIAN,Chair,J000177,APPROPRIATIONS;BANKING;ENERGY;INDIAN,Chairman
15425,112,APPROPRIATIONS;BANKING;ENERGY;HOMELAND SECURITY;INDIAN,Chair,J000177,APPROPRIATIONS;BANKING;ENERGY;INDIAN,Chairman
15429,112,FINANCE;JUDICIARY;MINORITY WHIP,,K000352,FINANCE;JUDICIARY,
15444,115,RULES,Ranking Minority,S000480,COMMISSION ON SECURITY;RULES,Ranking Member
15444,114,RULES,Ranking Minority,S000480,COMMISSION ON SECURITY;RULES,Ranking Member
