congress,bioguide,full_name,wikipedia_id
112,N000147,Eleanor Holmes Norton,Eleanor Holmes Norton
113,N000147,Eleanor Holmes Norton,Eleanor Holmes Norton
114,N000147,Eleanor Holmes Norton,Eleanor Holmes Norton
115,N000147,Eleanor Holmes Norton,Eleanor Holmes Norton
112,S001177,Gregorio Kilili Camacho Sablan,Gregorio Sablan
113,S001177,Gregorio Kilili Camacho Sablan,Gregorio Sablan
114,S001177,Gregorio Kilili Camacho Sablan,Gregorio Sablan
115,S001177,Gregorio Kilili Camacho Sablan,Gregorio Sablan
114,P000610,Stacey E. Plaskett,Stacey Plaskett
115,P000610,Stacey E. Plaskett,Stacey Plaskett
114,R000600,Aumua Amata Coleman Radewagen,Amata Coleman Radewagen
115,R000600,Aumua Amata Coleman Radewagen,Amata Coleman Radewagen
112,B001245,Madeleine Z. Bordallo,Madeleine Bordallo
113,B001245,Madeleine Z. Bordallo,Madeleine Bordallo
114,B001245,Madeleine Z. Bordallo,Madeleine Bordallo
115,B001245,Madeleine Z. Bordallo,Madeleine Bordallo
115,G000582,Jenniffer González-Colón,Jenniffer González-Colón
116,G000582,Jenniffer González-Colón,Jenniffer González-Colón
117,G000582,Jenniffer González-Colón,Jenniffer González-Colón
118,G000582,Jenniffer González-Colón,Jenniffer González-Colón
112,P000596,Pedro R. Pierluisi,Pedro Pierluisi
113,P000596,Pedro R. Pierluisi,Pedro Pierluisi
114,P000596,Pedro R. Pierluisi,Pedro Pierluisi
115,P000596,Pedro R. Pierluisi,Pedro Pierluisi
115,C001102,Curt Clawson,Curt Clawson
117,F000472,Scott Franklin,Scott Franklin (politician)
118,F000472,Scott Franklin,Scott Franklin (politician)
119,F000472,Scott Franklin,Scott Franklin (politician)
115,J000296,David W. Jolly,David Jolly
115,A000373,Brad Ashford,Brad Ashford
112,C000380,Donna M. Christensen,Donna Christensen
113,C000380,Donna M. Christensen,Donna Christensen
112,F000010,Eni F. H. Faleomavaega,Eni Faleomavaega
113,F000010,Eni F. H. Faleomavaega,Eni Faleomavaega
115,G000575,Gwen Graham,Gwen Graham
115,H001070,Cresent Hardy,Cresent Hardy
118,K000399,Jennifer A. Kiggans,Jen Kiggans
119,K000399,Jennifer A. Kiggans,Jen Kiggans
118,V000136,Gabe Vasquez,Gabe Vasquez
119,V000136,Gabe Vasquez,Gabe Vasquez
117,K000396,Kaiali’i Kahele,Kai Kahele
